date,YYYYMMDD,Ekurhuleni	Cases,Ekurhuleni	Recoveries,Ekurhuleni	Deaths,Ekurhuleni East 1	Cases,Ekurhuleni East 2	Cases,Ekurhuleni North 1	Cases,Ekurhuleni North 2	Cases,Ekurhuleni South 1	Cases,Ekurhuleni South 2	Cases,Ekurhuleni Unallocated	Cases,Ekurhuleni	Deaths,Ekurhuleni East 1	Recoveries,Ekurhuleni East 2	Recoveries,Ekurhuleni North 1	Recoveries,Ekurhuleni North 2	Recoveries,Ekurhuleni South 1	Recoveries,Ekurhuleni South 2	Recoveries,Ekurhuleni Unallocated	Recoveries,source,Comment
13-05-2020,20200513,456,,,42,35,142,109,92,15,21,,,,,,,,,https://twitter.com/GautengHealth/status/1260865969364316160,
14-05-2020,20200514,460,,,42,35,144,112,93,19,15,,,,,,,,,https://twitter.com/GautengHealth/status/1261248539751047168,
15-05-2020,20200515,477,368,,42,35,160,113,96,19,12,,,,,,,,,https://twitter.com/GautengHealth/status/1261551594967126016,
16-05-2020,20200516,488,,,42,36,165,115,99,19,12,,,,,,,,,https://twitter.com/GautengHealth/status/1261955293803618305/,
17-05-2020,20200517,,,,42,36,165,115,99,19,12,,,,,,,,,https://twitter.com/nicd_sa/status/1262110389111791617/,
18-05-2020,20200518,527,383,8,42,38,167,116,101,20,43,8,40,24,94,127,81,11,6,https://twitter.com/GautengHealth/status/1262623142067003392,
19-05-2020,20200519,538,384,8,42,39,167,118,102,22,48,8,41,24,94,127,81,11,6,https://twitter.com/GautengHealth/status/1263108613859676166/,
20-05-2020,20200520,549,395,8,46,39,169,119,104,22,50,8,42,24,98,128,85,12,6,https://twitter.com/GautengHealth/status/1263416943073263624,
21-05-2020,20200521,551,395,8,46,39,171,119,106,22,48,8,42,24,98,128,85,12,6,https://twitter.com/GautengHealth/status/1263748921005924353,
22-05-2020,20200522,565,430,8,47,39,182,121,109,28,39,8,43,24,123,133,87,14,6,https://twitter.com/GautengHealth/status/1264163298070663169/,
23-05-2020,20200523,579,452,8,47,40,190,121,110,28,43,8,44,24,139,133,88,18,6,https://twitter.com/GautengHealth/status/1264510034635038721/,
24-05-2020,20200524,606,452,8,50,42,197,123,116,31,47,8,44,24,139,133,88,18,6,https://twitter.com/GautengHealth/status/1264858229651226627,
25-05-2020,20200525,639,466,8,53,43,206,131,123,36,47,8,46,27,145,136,88,18,6,https://twitter.com/GautengHealth/status/1265207684694974470/p,
26-05-2020,20200526,642,474,8,53,43,207,132,123,37,47,8,47,28,147,139,89,18,6,https://twitter.com/GautengHealth/status/1265665486336987141/,
27-05-2020,20200527,667,481,8,59,43,208,147,126,39,45,8,47,30,149,141,90,18,6,https://twitter.com/GautengHealth/status/1265956927953141762,
28-05-2020,20200528,693,495,8,60,44,214,163,129,40,43,8,48,30,153,144,91,23,6,https://twitter.com/GautengHealth/status/1266307844145643521,
29-05-2020,20200529,732,495,8,60,50,216,177,132,53,44,8,48,30,153,144,91,23,6,https://twitter.com/GautengHealth/status/1266721507897679873,
30-05-2020,20200530,770,500,8,61,52,225,188,141,57,46,8,48,30,155,144,93,24,6,https://twitter.com/GautengHealth/status/1267008144972156929,
31-05-2020,20200531,825,516,10,61,57,246,207,150,57,47,10,49,32,159,146,95,27,8,https://twitter.com/bandilemasuku/status/1267425237597110281,
01-06-2020,20200601,868,526,10,66,57,261,224,154,61,45,10,51,32,162,149,97,27,8,https://twitter.com/GautengHealth/status/1267764917760929797,
02-06-2020,20200602,887,536,10,69,57,262,232,159,63,45,10,51,34,165,152,98,28,8,https://twitter.com/GautengHealth/status/1268171408313593856,
03-06-2020,20200603,937,540,10,74,63,271,249,169,67,44,10,51,35,165,154,98,29,8,https://twitter.com/GautengHealth/status/1268481591342497794,
04-06-2020,20200604,989,552,12,75,63,281,262,180,76,52,12,54,35,169,158,99,29,8,https://twitter.com/GautengHealth/status/1268866768120004608,
05-06-2020,20200605,1067,566,12,81,64,295,289,199,87,52,12,55,37,171,165,100,30,8,https://twitter.com/GautengHealth/status/1269247520053645317,
06-06-2020,20200606,1140,582,12,84,72,311,320,213,88,52,12,56,37,179,167,103,32,8,https://twitter.com/GautengHealth/status/1269558466965917697,
07-06-2020,20200607,1206,605,12,88,73,330,338,237,88,52,12,60,37,186,171,110,33,8,https://twitter.com/GautengHealth/status/1269943576135262215,
08-06-2020,20200608,1243,605,12,91,78,337,344,248,93,52,12,60,37,186,171,110,33,8,https://twitter.com/GautengHealth/status/1270311020800737280,
09-06-2020,20200609,1288,656,14,94,81,348,352,265,96,52,14,66,41,200,180,124,37,8,https://twitter.com/GautengHealth/status/1270692916177121281,
10-06-2020,20200610,1384,660,14,102,87,368,382,287,107,51,14,67,41,201,182,124,37,8,https://twitter.com/GautengHealth/status/1271052015632814082,
11-06-2020,20200611,1525,698,14,116,93,397,427,315,125,52,14,69,43,205,192,142,39,8,https://twitter.com/GautengHealth/status/1271418643809697792,
12-06-2020,20200612,1710,727,14,129,105,434,478,361,141,62,14,73,43,215,199,149,40,8,https://twitter.com/GautengHealth/status/1271753639586148352,
13-06-2020,20200613,1961,766,20,151,120,478,553,422,166,71,20,78,45,224,206,161,44,8,https://twitter.com/GautengHealth/status/1272121584107520000,
14-06-2020,20200614,2234,809,20,173,137,528,628,499,190,79,20,80,47,236,216,172,50,8,https://twitter.com/GautengHealth/status/1272534131377934338,
15-06-2020,20200615,2443,809,20,194,149,557,696,552,215,80,20,80,47,236,216,172,50,8,https://twitter.com/GautengHealth/status/1272821800376905728,
16-06-2020,20200616,2592,890,20,209,156,578,749,587,230,83,20,88,53,267,228,190,54,10,https://twitter.com/GautengHealth/status/1273190912324182016,
17-06-2020,20200617,2970,890,20,247,189,662,845,681,264,82,20,88,53,267,228,190,54,10,https://twitter.com/GautengHealth/status/1273641789749149698,
18-06-2020,20200618,3192,890,20,263,200,700,957,743,304,25,20,,,,,,,,https://twitter.com/GautengHealth/status/1273972046687592448,
19-06-2020,20200619,3492,903,,284,220,773,1048,809,331,27,,,,,,,,,https://twitter.com/GautengHealth/status/1274298125520449536/,
20-06-2020,20200620,3830,1102,,321,252,843,1140,889,358,27,,,,,,,,,https://twitter.com/GautengHealth/status/1274651292141588481,
21-06-2020,20200621,4168,1159,,358,301,898,1230,967,386,28,,,,,,,,,https://twitter.com/GautengHealth/status/1275066285122940931,
22-06-2020,20200622,4499,1202,,400,334,962,1294,1059,421,29,,,,,,,,,https://twitter.com/GautengHealth/status/1275472448876695553,
23-06-2020,20200623,4857,1248,,438,363,1032,1388,1150,458,28,,,,,,,,,https://twitter.com/GautengHealth/status/1275743329347608577,
24-06-2020,20200624,5377,1335,32,492,417,1133,1536,1271,500,28,32,,,,,,,,https://twitter.com/GautengHealth/status/1276140142630187008/,
25-06-2020,20200625,5938,1479,,556,472,1274,1665,1394,547,30,,,,,,,,,https://twitter.com/GautengHealth/status/1276463179246317568/,
26-06-2020,20200626,6563,1662,,623,530,1381,1807,1569,623,30,,,,,,,,,https://twitter.com/GautengHealth/status/1276866448539951104/,
27-06-2020,20200627,7196,1907,,683,586,1498,1990,1736,673,30,,,,,,,,,https://twitter.com/GautengHealth/status/1277227583680196609,
28-06-2020,20200628,7810,2151,,733,650,1605,2136,1904,751,31,,,,,,,,,https://twitter.com/GautengHealth/status/1277538817478725634,
29-06-2020,20200629,8429,2378,,804,727,1696,2267,2062,840,33,,,,,,,,,https://twitter.com/GautengHealth/status/1277922168437948423,
30-06-2020,20200630,9192,2526,40,871,780,1865,2480,2257,904,35,40,,,,,,,,https://twitter.com/GautengHealth/status/1278302946367807488,
01-07-2020,20200701,9845,2901,40,956,852,2021,2624,2410,946,36,40,,,,,,,,https://twitter.com/GautengHealth/status/1278690695671398400/,
02-07-2020,20200702,10797,3128,64,1053,978,2202,2855,2642,1031,36,64,,,,,,,,https://twitter.com/GautengHealth/status/1279008556382109697,Drop in Jhb death double checked
03-07-2020,20200703,11827,3416,64,1151,1070,2425,3080,2921,1142,38,64,,,,,,,,https://twitter.com/GautengHealth/status/1279388052457226240,
04-07-2020,20200704,13075,3417,64,1348,1154,2687,3314,3281,1254,37,64,,,,,,,,https://twitter.com/GautengHealth/status/1279802816983425024/,
05-07-2020,20200705,14080,4086,67,1469,1265,2905,3533,3641,1331,36,67,,,,,,,,https://twitter.com/GautengHealth/status/1280126595924197376,
06-07-2020,20200706,14848,4417,80,1583,1344,3025,3709,3746,1406,35,80,,,,,,,,https://twitter.com/GautengHealth/status/1280497205657378823,
07-07-2020,20200707,15807,4417,79,1712,1432,3225,3900,3991,1511,36,79,,,,,,,,https://twitter.com/GautengHealth/status/1280863628527271936,
08-07-2020,20200708,16626,5292,79,1829,1542,3394,4087,4159,1579,36,79,,,,,,,,https://twitter.com/GautengHealth/status/1281184145696268288,
09-07-2020,20200709,18100,5844,95,2050,1727,3653,4410,4511,1714,35,95,,,,,,,,https://twitter.com/GautengHealth/status/1281556225558183936,
10-07-2020,20200710,19215,6464,110,2235,1834,3813,4659,4809,1830,35,110,631,517,1386,1703,1607,582,38,https://twitter.com/GautengHealth/status/1281923648014757888,
11-07-2020,20200711,20617,7095,110,2437,2022,4073,4986,5109,1951,39,110,,,,,,,,https://twitter.com/GautengHealth/status/1282273632979476480/,
12-07-2020,20200712,21810,7707,161,2598,2197,4279,5237,5374,2077,48,161,741,636,1610,2030,1943,709,38,https://twitter.com/GautengHealth/status/1282681758597685248,
13-07-2020,20200713,23218,8311,161,2819,2341,4532,5540,5675,2261,50,161,808,710,1703,2157,2097,798,38,https://twitter.com/GautengHealth/status/1283049505739485184,
14-07-2020,20200714,23767,9708,184,2876,2391,4635,5664,5825,2326,50,184,957,831,2023,2514,2440,904,39,https://twitter.com/GautengHealth/status/1283342298995187712/,
15-07-2020,20200715,24948,10652,186,3042,2523,4862,5914,6129,2428,50,186,1054,956,2204,2744,2666,989,39,https://twitter.com/GautengHealth/status/1283738986805108738/,
16-07-2020,20200716,,,,,,,,,,,,,,,,,,,,GDOH did not release figures for the day on twitter
17-07-2020,20200717,27534,12774,239,3318,2821,5374,6470,6752,2749,50,239,,,,,,,,https://twitter.com/GautengHealth/status/1284490028232605696,
18-07-2020,20200718,28686,13762,239,3461,2929,5634,6792,6979,2841,50,239,1447,1211,2856,3405,3558,1238,47,https://twitter.com/GautengHealth/status/1284834622870872064,Report transposes Tsh and Ekh recoveries
19-07-2020,20200719,29887,17769,240,3668,3065,5832,7078,7220,2974,50,240,2033,1667,3604,4277,4522,1619,47,https://twitter.com/GautengHealth/status/1285207204275068929/,No hospitalisation figures reported
20-07-2020,20200720,30606,18871,240,3766,3138,5961,7274,7371,3038,58,240,2206,1774,3764,4526,4819,1735,47,https://twitter.com/GautengHealth/status/1285620233164795906,
21-07-2020,20200721,31067,20264,250,3811,3180,6064,7398,7488,3068,58,250,2409,1960,4023,4852,5118,1855,47,https://twitter.com/GautengHealth/status/1285951419409997825,
22-07-2020,20200722,32271,21453,299,3950,3342,6268,7624,7813,3216,58,299,2569,2135,4229,5102,5381,1981,56,https://twitter.com/GautengHealth/status/1286236261108285440,
23-07-2020,20200723,33243,21453,317,4064,3471,6452,7848,8022,3328,58,317,2569,2135,4229,5102,5381,1981,56,https://twitter.com/GautengHealth/status/1286669301823438849,
24-07-2020,20200724,34195,22833,374,4199,3627,6614,8052,8212,3433,58,374,2788,2279,4482,5404,5676,2146,58,https://twitter.com/GautengProvince/status/1287022217482641409,
25-07-2020,20200725,35132,23267,376,4358,3773,6752,8239,8417,3535,58,376,2845,2329,4581,5527,5822,2205,58,https://twitter.com/GautengHealth/status/1287466388953726977,
26-07-2020,20200726,35898,25850,381,4481,3888,6896,8414,8564,3595,60,381,3157,2613,5075,6051,6423,2473,58,https://twitter.com/GautengHealth/status/1287771220901937153/,
27-07-2020,20200727,36297,27117,409,4542,3929,6969,8503,8642,3652,60,409,3278,2757,5319,6332,6748,2625,58,https://twitter.com/GautengHealth/status/1287771220901937153,
28-07-2020,20200728,36755,28315,411,4598,3982,7086,8566,8741,3722,60,411,3483,2893,5517,6618,6988,2758,58,https://twitter.com/GautengHealth/status/1288513725033598976,
29-07-2020,20200729,37678,29416,455,4698,4087,7252,8829,8966,3786,60,455,3617,2991,5753,6934,7214,2849,58,https://twitter.com/GautengHealth/status/1288865447484567552/,
30-07-2020,20200730,38273,30128,487,4760,4165,7391,8966,9092,3838,61,487,3714,3063,5882,7127,7363,2913,66,https://twitter.com/GautengHealth/status/1289246914009952257/,Sedibeng recovery figures: apparent reallocation from Lesedi to Midvaal
31-07-2020,20200731,39181,30565,489,4906,4286,7555,9163,9266,3944,61,489,3753,3097,5982,7245,7479,2943,66,https://twitter.com/GautengHealth/status/1289610090538872833,
01-08-2020,20200801,,,,,,,,,,,,,,,,,,,https://twitter.com/GautengHealth/status/1289977071905566721/,GDOH did not release figures due to audit/harmonisation
02-08-2020,20200802,,,,,,,,,,,,,,,,,,,,GDOH did not release figures
03-08-2020,20200803,,,,,,,,,,,,,,,,,,,,GDOH did not release figures
04-08-2020,20200804,40863,,,,,,,,,,,,,,,,,,,GDOH did not release figures
05-08-2020,20200805,41393,35374,530,5175,4558,8053,9755,9673,4118,61,530,4419,3794,6813,8260,8554,3467,67,https://twitter.com/GautengHealth/status/1291313842698543110/,
06-08-2020,20200806,41895,35779,547,5238,4627,8148,9892,9777,4152,61,547,4480,3835,6904,8345,8625,3524,66,GDOH Media Release 7 August 2020,
07-08-2020,20200807,42304,36252,555,5301,4698,8205,10014,9836,4189,61,555,4535,3889,7039,8410,8721,3592,66,https://twitter.com/GautengHealth/status/1292117180650332161,
08-08-2020,20200808,42718,37175,564,5372,4736,8299,10096,9915,4239,61,564,4635,3992,7206,8674,8947,3655,66,https://twitter.com/GautengHealth/status/1292440638609391616,
09-08-2020,20200809,43019,37763,587,5431,4770,8359,10166,9970,4262,61,587,4697,4071,7345,8807,9070,3707,66,https://twitter.com/GautengHealth/status/1292780979329929216/,
10-08-2020,20200810,43188,38700,594,5461,4788,8392,10208,10003,4275,61,594,4847,4192,7524,9008,9244,3819,66,https://twitter.com/GautengHealth/status/1293191312712187906,
11-08-2020,20200811,43312,39289,596,5488,4803,8416,10237,10018,4289,61,596,4933,4261,7649,9174,9352,3854,66,https://twitter.com/GautengHealth/status/1293566743399604224,
12-08-2020,20200812,43469,39879,,5497,4817,8451,10294,10054,4295,61,,5014,4337,7762,9331,9462,3907,66,https://twitter.com/GautengHealth/status/1293883300902326272,
13-08-2020,20200813,43753,40246,615,5530,4843,8502,10376,10122,4319,61,615,5054,4384,7856,9429,9522,3935,66,https://twitter.com/GautengHealth/status/1294254921718652935,
14-08-2020,20200814,44214,40847,617,5589,4900,8605,10499,10197,4363,61,617,5129,4463,7980,9585,9646,3978,66,https://twitter.com/GautengHealth/status/1294600732881170433/,
15-08-2020,20200815,44503,41181,626,5637,4935,8666,10553,10261,4390,61,626,5167,4516,8027,9685,9724,3996,66,https://twitter.com/GautengHealth/status/1294958750676275200,
16-08-2020,20200816,44778,41290,629,5673,4978,8744,10615,10304,4403,61,629,5187,4523,8049,9716,9743,4006,66,https://twitter.com/GautengHealth/status/1295357343442579461,
17-08-2020,20200817,44897,41739,676,5693,4988,8760,10642,10327,4426,61,676,5255,4599,8129,9843,9806,4042,65,https://twitter.com/GautengHealth/status/1295679081648988162,Deaths of Tshwane and Ekhurleni appear to have been transposed
18-08-2020,20200818,45138,42217,638,5731,5017,8807,10705,10376,4441,61,638,5334,4642,8239,9935,9902,4100,65,https://twitter.com/GautengHealth/status/1296074732039811073,West Rand Recoveries have not been updated for a week
19-08-2020,20200819,45378,42602,647,5763,5052,8855,10760,10435,4452,61,647,5405,4689,8311,10028,9966,4138,65,https://twitter.com/GautengHealth/status/1296398783505473536,
20-08-2020,20200820,45578,42683,670,5790,5076,8898,10821,10464,4468,61,670,5418,4692,8326,10046,9993,4143,65,https://twitter.com/GautengHealth/status/1296785419791728640,
21-08-2020,20200821,45783,42826,676,5813,5090,8946,10880,10505,4488,61,676,5431,4700,8362,10104,10011,4153,65,https://twitter.com/GautengHealth/status/1297163891391242240,
22-08-2020,20200822,46131,43227,681,5854,5136,9045,10956,10562,4517,61,681,5484,4754,8441,10195,10103,4185,65,GDOH Media Release 23 August 2020,
23-08-2020,20200823,46306,43511,713,5884,5155,9092,10989,10591,4534,61,713,5524,4781,8504,10274,10152,4211,65,GDOH Media Release 24 August 2020,
24-08-2020,20200824,46452,43899,716,5896,5177,9121,11033,10614,4550,61,716,5572,4827,8611,10358,10222,4244,65,GDOH Media Release 25 August 2020,
25-08-2020,20200825,46510,43959,718,5901,5180,9136,11051,10627,4554,61,718,5581,4834,8626,10373,10232,4247,66,https://twitter.com/GautengHealth/status/1298580090968825856/,
26-08-2020,20200826,46682,44229,730,5913,5192,9159,11126,10662,4569,61,730,5617,4876,8705,10433,10275,4258,65,GDOH Media Release 27 August 2020,
27-08-2020,20200827,46805,44337,741,5933,5203,9176,11158,10696,4578,61,741,5637,4883,8717,10459,10298,4278,65,https://twitter.com/GautengHealth/status/1299328560604344320,
28-08-2020,20200828,46925,44620,755,5944,5211,9204,11204,10717,4584,61,755,5677,4916,8771,10543,10354,4294,65,GDOH Media Release 29 August 2020,
29-08-2020,20200829,47057,44854,756,5954,5221,9230,11239,10753,4599,61,756,5710,4951,8816,10596,10408,4308,65,GDOH Media Release 30 August 2020,
30-08-2020,20200830,47186,45046,757,5967,5232,9271,11259,10776,4620,61,757,5738,4975,8858,10654,10437,4319,65,https://twitter.com/GautengHealth/status/1300391865246724097,
31-08-2020,20200831,47275,45293,766,5976,5241,9294,11288,10792,4623,61,766,5773,4995,8920,10714,10484,4342,65,GDOH Media Release 1 September 2020,
01-09-2020,20200901,47502,45579,771,5991,5260,9333,11384,10839,4634,61,771,5808,5032,8979,10792,10534,4369,65,GDOH Media Release 2 September 2020,
02-09-2020,20200902,47626,45708,772,6006,5270,9356,11421,10863,4649,61,772,5819,5050,9008,10826,10557,4383,65,GDOH Media Release 3 September 2020,
03-09-2020,20200903,47720,45764,785,6014,5281,9373,11451,10879,4661,61,785,5824,5054,9012,10849,10571,4389,65,GDOH Medial Release 4 September 2020,
04-09-2020,20200904,47831,45934,801,6024,5288,9403,11482,10898,4675,61,801,5843,5065,9044,10909,10605,4403,65,https://twitter.com/GautengHealth/status/1302240594224394241,
05-09-2020,20200905,47899,46026,803,6030,5297,9420,11502,10906,4683,61,803,5852,5067,9057,10945,10633,4407,65,https://twitter.com/GautengHealth/status/1302567025370443776,
06-09-2020,20200906,47974,46043,804,6036,5303,9434,11527,10915,4698,61,804,5854,5069,9060,10950,10637,4408,65,https://twitter.com/GautengHealth/status/1302988152584523776,
07-09-2020,20200907,48005,46181,805,6038,5307,9439,11534,10924,4702,61,805,5864,5080,9090,11005,10661,4414,67,https://twitter.com/GautengHealth/status/1303300349051183111/,
08-09-2020,20200908,48062,46295,806,6045,5316,9452,11551,10929,4708,61,806,5874,5088,9111,11032,10694,4429,67,https://twitter.com/GautengHealth/status/1303682049950318592,
09-09-2020,20200909,48135,46687,810,6058,5329,9464,11568,10944,4711,61,810,5908,5115,9178,11143,10765,4461,117,https://twitter.com/GautengHealth/status/1304035972485701632/,
10-09-2020,20200910,48202,46730,813,6062,5340,9477,11586,10958,4718,61,813,5917,5122,9202,11172,10785,4465,67,https://twitter.com/GautengHealth/status/1304406363314028544/,
11-09-2020,20200911,48279,46899,819,6069,5358,9491,11606,10970,4724,61,819,5934,5140,9235,11223,10814,4486,67,https://twitter.com/GautengHealth/status/1304810596081315841/,
12-09-2020,20200912,48352,46994,820,6077,5369,9502,11628,10984,4731,61,820,5941,5153,9253,11250,10832,4498,67,GDOH Media Release 13 September 2020,
13-09-2020,20200913,48413,47097,822,6083,5379,9514,11639,11001,4736,61,822,5952,5160,9276,11282,10845,4515,67,https://twitter.com/GautengHealth/status/1305464605028880385,
14-09-2020,20200914,48440,47171,822,6084,5381,9518,11646,11009,4741,61,822,5960,5165,9298,11303,10857,4521,67,https://twitter.com/GautengHealth/status/1305871725524144130,
15-09-2020,20200915,48469,47229,824,6085,5382,9525,11660,11015,4741,61,824,5964,5172,9305,11323,10865,4531,69,https://twitter.com/GautengHealth/status/1306284688458371072,
16-09-2020,20200916,48539,47245,832,6092,5395,9541,11680,11022,4748,61,832,5964,5173,9308,11330,10869,4532,69,https://twitter.com/GautengHealth/status/1306561937136902145/,
17-09-2020,20200917,48656,47275,832,6102,5406,9556,11724,11050,4757,61,832,5966,5177,9313,11339,10875,4536,69,https://twitter.com/HealthTshwane/status/1306929066092699648/,
18-09-2020,20200918,48733,47349,834,6107,5412,9574,11752,11066,4761,61,834,5974,5188,9332,11357,10882,4547,69,https://twitter.com/HealthTshwane/status/1307365757874044928,
19-09-2020,20200919,48793,47466,835,6108,5420,9581,11785,11075,4763,61,835,5988,5212,9351,11388,10907,4551,69,GDOH Media Release 20 September 2020,
20-09-2020,20200920,48838,47523,835,6109,5425,9591,11805,11081,4766,61,835,5995,5226,9361,11398,10918,4556,69,GDOH Media Release 21 September 2020,
21-09-2020,20200921,48871,47543,839,6111,5443,9604,11805,11081,4766,61,839,5996,5227,9365,11408,10921,4557,69,GDOH Media Release 22 September 2020,
22-09-2020,20200922,48924,47615,841,6117,5448,9617,11825,11087,4769,61,841,6004,5238,9374,11431,10935,4564,69,https://twitter.com/HealthTshwane/status/1308815496817582080,
23-09-2020,20200923,49010,47680,844,6123,5459,9631,11864,11102,4770,61,844,6009,5248,9389,11442,10954,4569,69,https://twitter.com/GautengHealth/status/1309134233064148992,
24-09-2020,20200924,49087,47698,844,6127,5468,9648,11901,11110,4772,61,844,6011,5250,9391,11449,10958,4570,69,https://twitter.com/GautengHealth/status/1309513203551031302,
25-09-2020,20200925,49134,47731,846,6134,5469,9664,11911,11121,4774,61,846,6011,5251,9400,11467,10963,4570,69,GDOH Media Release 26 September 2020,
26-09-2020,20200926,49174,47806,846,6136,5471,9670,11926,11135,4775,61,846,6019,5264,9420,11487,10969,4578,69,https://twitter.com/HealthTshwane/status/1310178587623010304,
27-09-2020,20200927,49219,47978,847,6138,5477,9681,11935,11150,4777,61,847,6034,5281,9447,11557,11001,4589,69,https://twitter.com/GautengHealth/status/1310605890932928513,
28-09-2020,20200928,49246,48046,847,6139,5478,9688,11945,11158,4777,61,847,6035,5285,9460,11588,11015,4594,69,https://twitter.com/GautengHealth/status/1310939301211971591/,
29-09-2020,20200929,49284,48106,850,6140,5481,9692,11965,11165,4780,61,850,6037,5295,9476,11608,11025,4596,69,https://twitter.com/GautengHealth/status/1311243671816359936/,
30-09-2020,20200930,49347,48132,852,6143,5489,9706,11987,11180,4781,61,852,6037,5298,9483,11622,11027,4596,69,https://twitter.com/GautengHealth/status/1311673093262372864/,
01-10-2020,20201001,49416,48147,853,6145,5492,9713,12021,11201,4783,61,853,6038,5299,9486,11630,11028,4597,69,https://twitter.com/GautengHealth/status/1312040199069859840/,
02-10-2020,20201002,49477,48174,853,6157,5500,9722,12042,11212,4783,61,853,6041,5301,9492,11640,11033,4598,69,GDOH Media Release 3 October 2020,
03-10-2020,20201003,49533,48260,853,6159,5504,9736,12062,11229,4783,60,853,6047,5312,9507,11678,11048,4599,69,GDOH Media Release 4 October 2020,
