ID,Name,Long,Lat,Category,Province,district,subdistrict,district_estimated_population,service_offered_by_hospital,size_hospital,number_of_beds,number_of_practitioners,webpage,geo_subdivision
339,Life Eugene Marais Hospital,28.193922,-25.71,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
340,Life Groenkloof Hospital,28.2164,-25.7715,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
341,Louis Pasteur Hospital,28.19666,-25.7485,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
342,Pretoria Gynae Hospital,28.20565,-25.7562,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
343,Mediclinic Heart Hospital,28.20677,-25.7491,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
344,Mediclinic Medforum Hospital,28.199664,-25.7468,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
345,Mediclinic Muelmed Hospital,28.20768,-25.7469,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
346,Netcare Bougainville Hospital,28.1535,-25.7152,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
347,Netcare Femina Hospital,28.20037,-25.7401,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
348,Netcare Jakaranda Hospital,28.21182,-25.7595,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
349,Netcare Moot Hospital,28.21779,-25.7137,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
352,Pretoria Eye Inst Hospital,28.21113,-25.7474,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
353,Pretoria Urolog Hospital,28.23775,-25.744,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
360,University of Pta Med Centre,28.200165,-25.7303,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
362,Zuid Afrikaans Hospital,28.20571,-25.762,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
363,Erasmia Med Centre,28.09319,-25.8114,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 4 SD,3275152,,,,,,ZA-GP
367,Netcare Unitas Hospital,28.1959,-25.8323,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 4 SD,3275152,,,,,,ZA-GP
370,NHN Icare Irene Med Centre,28.205361,-25.8851,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 4 SD,3275152,,,,,,ZA-GP
373,NHN Vista Hospital,28.19321,-25.8439,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 4 SD,3275152,,,,,,ZA-GP
374,Clinix Cullinan Prv Hospital,28.515781,-25.6659,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 5 SD,3275152,,,,,,ZA-GP
376,Denmar Hospital,28.29974,-25.8025,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
378,Kloof Hospital,28.262855,-25.8111,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
379,Life Faerie Glen Hospital,28.291695,-25.7835,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
380,Life Wilgers Hospital,28.318918,-25.7678,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
382,Mamelodi Med Centre,28.375033,-25.7141,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
383,Mediclinic Kloof Hospital,28.2631,-25.8129,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
384,Netcare Pretoria E Hospital,28.30496,-25.8209,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
390,Phelang Prv Hospital,28.378808,-25.7139,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
391,SAMCOR Med Centre,28.329661,-25.7372,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
393,Life Dalview Hospital,28.354391,-26.2451,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni E1 SD,3379104,,,,,,ZA-GP
397,Life Springs Parkland Hospital,28.43466,-26.2657,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni E2 SD,3379104,,,,,,ZA-GP
398,Life St Mary's Prv Hospital,28.43471,-26.2587,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni E2 SD,3379104,,,,,,ZA-GP
399,Netcare N17 Prv Hospital,28.42802,-26.2713,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni E2 SD,3379104,,,,,,ZA-GP
401,Kloof Med Centre,28.13315,-26.1847,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N1 SD,3379104,,,,,,ZA-GP
403,NHN Arwyp Med Centre Hospital,28.22923,-26.1065,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N1 SD,3379104,,,,,,ZA-GP
405,NHN Lenmed Zamokuhle Prv Hospital,28.238093,-25.9829,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N1 SD,3379104,,,,,,ZA-GP
408,Dinwiddie Med Centre,28.330783,-26.1454,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
412,Life Bedford Gardens Hospital,28.12093,-26.1898,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
413,Life Glynnview Hospital,28.307291,-26.1928,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
414,Life The Glynnwood Hospital,28.308109,-26.1954,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
415,Netcare Linmed Hospital,28.330783,-26.1454,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
417,Netcare Sunward Park Hospital,28.256035,-26.2605,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
420,NHN Sunshine Hospital,28.302914,-26.2115,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
425,Clinix Botshelong-Empilweni Prv Hospital,28.216395,-26.3455,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 SD,3379104,,,,,,ZA-GP
427,Life Roseacres Hospital,28.169563,-26.1789,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 SD,3379104,,,,,,ZA-GP
428,Netcare Clinton Hospital,28.12019,-26.2732,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 SD,3379104,,,,,,ZA-GP
429,Netcare Union Hospital,28.119647,-26.2698,Private Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 SD,3379104,,,,,,ZA-GP
434,Clinix Naledi-Nkanyezi Prv Hospital,27.842933,-26.5814,Private Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
435,Cormed Hospital,27.832318,-26.7022,Private Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
436,Hlulani Med Centre,27.846783,-26.590498,Private Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
438,Lakeview Med Centre,28.312829,-26.1844,Private Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
439,Mediclinic Emfuleni Hospital,27.838504,-26.7038,Private Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
440,Mediclinic Vereeniging Hospital,27.9283,-26.6678,Private Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
441,Midvaal Prv Hospital,27.96935,-26.6617,Private Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
445,Life Suikerbosrand Hospital,28.354079,-26.5005,Private Hospital,Gauteng,Sedibeng District Municipality,Lesedi LM,957528,,,,,,ZA-GP
446,Baneng Psych Hospital,27.43667,-26.2011,Private Hospital,Gauteng,West Rand District Municipality,Merafong City LM,838594,,,,,,ZA-GP
448,Fochville Hospital,27.49689,-26.4812,Private Hospital,Gauteng,West Rand District Municipality,Merafong City LM,838594,,,,,,ZA-GP
449,NHN Fountain Prv Hospital,27.382881,-26.3674,Private Hospital,Gauteng,West Rand District Municipality,Merafong City LM,838594,,,,,,ZA-GP
450,Western Deep Hospital,27.41607,-26.3733,Private Hospital,Gauteng,West Rand District Municipality,Merafong City LM,838594,,,,,,ZA-GP
455,Netcare Krugersdorp Hospital,27.77518,-26.1047,Private Hospital,Gauteng,West Rand District Municipality,Mogale City LM,838594,,,,,,ZA-GP
458,Life Robinson Hospital,27.70915,-26.1606,Private Hospital,Gauteng,West Rand District Municipality,Rand West City LM,838594,,,,,,ZA-GP
460,NHN Lenmed Randfontein Prv Hospital,27.718959,-26.1679,Private Hospital,Gauteng,West Rand District Municipality,Rand West City LM,838594,,,,,,ZA-GP
461,S Albert Med Centre,27.71868,-26.1675,Private Hospital,Gauteng,West Rand District Municipality,Rand West City LM,838594,,,,,,ZA-GP
293,Bheki Mlangeni Dist Hospital,27.856929,-26.2478,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D SD,4949347,,,,,,ZA-GP
322,South Rand Hospital,28.06211,-26.2529,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F SD,4949347,,,,,,ZA-GP
330,Odi Hospital,28.02248,-25.5184,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 SD,3275152,,,,,,ZA-GP
332,Jubilee Hospital,28.26582,-25.403,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 2 SD,3275152,,,,,,ZA-GP
354,Pretoria West Hospital,28.13962,-25.7365,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
358,Tshwane Dist Hospital,28.202561,-25.7327,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
392,Bronkhorstspruit Hospital,28.716892,-25.8033,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 7 SD,3275152,,,,,,ZA-GP
424,Bertha Gxowa Hospital,28.16305,-26.2197,Public Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 SD,3379104,,,,,,ZA-GP
437,Kopanong Hospital,27.93328,-26.614048,Public Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
444,Heidelberg Hospital,28.35131,-26.5036,Public Hospital,Gauteng,Sedibeng District Municipality,Lesedi LM,957528,,,,,,ZA-GP
447,Carletonville Hospital,27.39446,-26.347,Public Hospital,Gauteng,West Rand District Municipality,Merafong City LM,838594,,,,,,ZA-GP
451,Dr Y Dadoo Hospital,27.78386,-26.0996,Public Hospital,Gauteng,West Rand District Municipality,Mogale City LM,838594,,,,,,ZA-GP
295,Chris Hani Hospital,27.93799,-26.26,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D SD,4949347,,,,,,ZA-GP
313,Charlotte Maxeke Hospital,28.04691,-26.174,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F SD,4949347,,,,,,ZA-GP
327,Dr G Mukhari Hospital,28.01216,-25.619,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 SD,3275152,,,,,,ZA-GP
356,Steve Biko Academic Hospital,28.202561,-25.7295,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
294,C Hurwitz TB Hospital,27.94666,-26.2611,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D SD,4949347,,,,,,ZA-GP
357,Tshepong TB Hospital,28.09372,-25.7638,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
409,East Rand TB Hospital,28.41141,-26.188,Public Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
426,Knights Chest Hospital,28.19389,-26.1933,Public Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 SD,3379104,,,,,,ZA-GP
311,Sizwe Tropical Hospital,28.124964,-26.1374,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E SD,4949347,,,,,,ZA-GP
359,Tshwane Rehab Hospital,28.200872,-25.734,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
375,Cullinan Rehab Hospital,28.53852,-25.691,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 5 SD,3275152,,,,,,ZA-GP
279,Rahima Moosa Hospital,27.97329,-26.1882,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B SD,4949347,,,,,,ZA-GP
300,Edenvale Hospital,28.129419,-26.1283,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E SD,4949347,,,,,,ZA-GP
381,Mamelodi Hospital,28.36788,-25.7186,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 SD,3275152,,,,,,ZA-GP
395,Pholosong Hospital,28.37705,-26.3398,Public Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni E1 SD,3379104,,,,,,ZA-GP
396,Far East Rand Hospital,28.40367,-26.2354,Public Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni E2 SD,3379104,,,,,,ZA-GP
423,Tambo Memorial Hospital,28.24449,-26.2184,Public Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 SD,3379104,,,,,,ZA-GP
433,Thelle Mogoerane Reg Hospital,28.224311,-26.3569,Public Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 SD,3379104,,,,,,ZA-GP
443,Sebokeng Hospital,27.84622,-26.6061,Public Hospital,Gauteng,Sedibeng District Municipality,Emfuleni LM,957528,,,,,,ZA-GP
453,Leratong Hospital,27.80774,-26.1713,Public Hospital,Gauteng,West Rand District Municipality,Mogale City LM,838594,,,,,,ZA-GP
267,Helen Joseph Hospital,27.9901,-26.1839,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B SD,4949347,,,,,,ZA-GP
337,Kalafong Hospital,28.08948,-25.7627,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
407,Tembisa Hospital,28.23756,-25.9828,Public Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N1 SD,3379104,,,,,,ZA-GP
281,Tara H Moross Centre Hospital,28.036464,-26.1087,Public Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B SD,4949347,,,,,,ZA-GP
361,Weskoppies Hospital,28.16057,-25.7638,Public Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 SD,3275152,,,,,,ZA-GP
457,Sterkfontein Hospital,27.747403,-26.0581,Public Hospital,Gauteng,West Rand District Municipality,Mogale City LM,838594,,,,,,ZA-GP
541,NHN Hibiscus Hospital,30.451701,-30.7415,Private Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni LM,753336,,,,,,ZA-KZN
574,NHN Lenmed La Verna Hospital,29.779646,-28.5554,Private Hospital,KwaZuluNatal,Uthukela District Municipality,Alfred Duma LM,706588,,,,,,ZA-KZN
582,NHN Pongola Hospital,31.619102,-27.3771,Private Hospital,KwaZuluNatal,Zululand District Municipality,uPhongolo LM,892310,,,,,,ZA-KZN
463,Niemeyer Mem Hospital,30.0712,-27.6519,Public Hospital,KwaZuluNatal,Amajuba District Municipality,Emadlangeni LM,531327,,,,,,ZA-KZN
501,McCords Hospital,30.996943,-29.8382,Public Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,3702231,,,,,,ZA-KZN
51,Osindisweni Hospital,30.983202,-29.6082,Public Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,3702231,,,,,,ZA-KZN
518,St Mary's Hospital (Mar),30.826015,-29.8469,Public Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,3702231,,,,,,ZA-KZN
72,Wentworth Hospital,30.989162,-29.9329,Public Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,3702231,,,,,,ZA-KZN
522,St Apollinaris Hospital,29.72575,-30.0165,Public Hospital,KwaZuluNatal,Harry Gwala District Municipality,Dr N Dlamini Zuma LM,510865,,,,,,ZA-KZN
523,EG Usher Mem Hospital,29.415438,-30.5458,Public Hospital,KwaZuluNatal,Harry Gwala District Municipality,Gr Kokstad LM,510865,,,,,,ZA-KZN
